month,Multi_Vehicle,Other,Pedestrian,Single_Vehicle
1,135,11,125,104
2,135,11,97,76
3,132,16,120,113
4,137,11,90,128
5,163,15,91,112
6,177,16,91,151
7,194,19,93,196
8,228,14,96,181
9,219,26,120,165
10,206,16,135,153
11,187,18,142,119
12,176,20,156,122
